respondent_id,level,format,experience,story,question,question_type,response_text,response_length_words,anchor_local,anchor_global,anchor_causal,anchor_mean_themes,anchor_theme_loyalty,anchor_theme_empathy,anchor_theme_peer_pressure,anchor_theme_kindness,keyword_composite,sim_WAYPOINT0,sim_WAYPOINT1,sim_WAYPOINT2,sim_WAYPOINT3,prediction_top_sim,prediction_margin,predicted_waypoint,semantic_quality,has_semantic_score,overall_composite,anchor_theme_loyalty_vs_honesty,anchor_theme_friendship,anchor_theme_integrity,anchor_theme_peer_loyalty,anchor_theme_temptation,anchor_theme_honesty,anchor_theme_consequences,anchor_theme_greed
R0001,WAYPOINT0,comic,moderate,cat,q1,inference,Because cats eat mice so they are really good to have around the house.,14,0.0,0.2,0.0667,0.25,0.0,0.0,1.0,0.0,0.1108,0.6734,0.5608,0.6434,0.4702,0.6734,0.03,,0.4626,True,0.3219,,,,,,,,
R0001,WAYPOINT0,comic,moderate,cat,q2,metacognitive,I just know that cats like catching mice from real life.,11,0.2,0.0,0.0333,0.0,0.0,0.0,0.0,0.0,0.0617,0.5298,0.4818,0.4533,0.4744,0.5298,0.048,,0.4833,True,0.3147,,,,,,,,
R0001,WAYPOINT0,comic,moderate,cat,q3,inference,I don't really know what the lesson is. Maybe to not wear a green shirt?,15,0.0,0.0,0.0,0.25,0.0,0.0,1.0,0.0,0.0375,0.7402,0.5959,0.5954,0.4752,0.7402,0.1443,WAYPOINT0,0.4449,True,0.2819,,,,,,,,
R0001,WAYPOINT0,comic,moderate,cat,q4,metacognitive,I said that because the main boy is wearing a green shirt in all the panels.,16,0.0,0.2,0.1,0.0,0.0,0.0,0.0,0.0,0.085,0.4721,0.4264,0.3826,0.3962,0.4721,0.0457,,0.473,True,0.3178,,,,,,,,
R0001,WAYPOINT0,comic,moderate,lying,q1,inference,I honestly don't know. Maybe she just forgot what she was going to say to the teacher.,17,0.0,0.0,0.0,0.0,,,,,0.0,0.644,0.6863,0.5431,0.5235,0.6863,0.0423,,0.4649,True,0.2789,0.0,0.0,0.0,0.0,,,,
R0001,WAYPOINT0,comic,moderate,lying,q2,metacognitive,I just couldn't figure it out from reading the comic.,10,0.0,0.0,0.0,0.0,,,,,0.0,0.5051,0.4127,0.3903,0.4619,0.5051,0.0432,,0.4857,True,0.2914,0.0,0.0,0.0,0.0,,,,
R0001,WAYPOINT0,comic,moderate,lying,q3,inference,The lesson is probably that lockers are a good place to talk before class starts.,15,0.0,0.0,0.0,0.0,,,,,0.0,0.594,0.6312,0.5837,0.5962,0.6312,0.035,,0.4972,True,0.2983,0.0,0.0,0.0,0.0,,,,
R0001,WAYPOINT0,comic,moderate,lying,q4,metacognitive,Because in the first few panels they are just standing by their lockers talking to each other.,17,0.0,0.0,0.0,0.25,,,,,0.0375,0.376,0.4323,0.4295,0.4516,0.4516,0.0193,,0.5221,True,0.3283,0.0,1.0,0.0,0.0,,,,
R0001,WAYPOINT0,comic,moderate,stealing,q1,inference,I honestly have no clue why he decided to keep her wallet.,12,0.4,0.0,0.0,0.0,,,,,0.1,0.5027,0.6143,0.6038,0.5888,0.6143,0.0105,,0.5179,True,0.3507,,,,,0.0,0.0,0.0,0.0
R0001,WAYPOINT0,comic,moderate,stealing,q2,metacognitive,"The comic didn't really tell me the reason, so I just don't know.",13,0.0,0.0,0.0,0.25,,,,,0.0375,0.5928,0.3686,0.4041,0.4654,0.5928,0.1274,,0.4684,True,0.296,,,,,1.0,0.0,0.0,0.0
R0001,WAYPOINT0,comic,moderate,stealing,q3,inference,Always ride your bike to the ice cream shop.,9,0.4,0.0,0.0667,0.0,,,,,0.1233,0.5826,0.4664,0.4578,0.4701,0.5826,0.1125,,0.4708,True,0.3318,,,,,0.0,0.0,0.0,0.0
R0001,WAYPOINT0,comic,moderate,stealing,q4,metacognitive,Because that's what Billy did in the story after talking to his parents.,13,0.2,0.0,0.0667,0.0,,,,,0.0733,0.6226,0.6766,0.4382,0.692,0.692,0.0153,,0.4979,True,0.3281,,,,,0.0,0.0,0.0,0.0
R0002,WAYPOINT0,comic,little,cat,q1,inference,"I don't know, maybe because they played basketball.",8,0.2,0.0,0.0333,0.0,0.0,0.0,0.0,0.0,0.0617,0.5105,0.3752,0.3791,0.4609,0.5105,0.0496,,0.486,True,0.3163,,,,,,,,
R0002,WAYPOINT0,comic,little,cat,q2,metacognitive,The kids said something about basketball so I guess that's it.,11,0.2,0.0,0.0333,0.0,0.0,0.0,0.0,0.0,0.0617,0.484,0.4219,0.3875,0.3181,0.484,0.0621,,0.445,True,0.2917,,,,,,,,
R0002,WAYPOINT0,comic,little,cat,q3,inference,"Um, always wash your hands.",5,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.3965,0.4633,0.425,0.3986,0.4633,0.0383,,0.4968,True,0.3181,,,,,,,,
R0002,WAYPOINT0,comic,little,cat,q4,metacognitive,The girl in the comic told him he had to wash his hands.,13,0.2,0.2,0.0667,0.25,0.0,0.0,1.0,0.0,0.1608,0.3895,0.4097,0.4125,0.4188,0.4188,0.0063,,0.5093,True,0.3699,,,,,,,,
R0002,WAYPOINT0,comic,little,lying,q1,inference,I don't really know. I guess she is just doing her test.,12,0.2,0.0,0.0,0.0,,,,,0.05,0.5404,0.5119,0.4693,0.4183,0.5404,0.0284,,0.4649,True,0.2989,0.0,0.0,0.0,0.0,,,,
R0002,WAYPOINT0,comic,little,lying,q2,metacognitive,Because she is sitting at her desk with a paper in the pictures.,13,0.2,0.0,0.0333,0.0,,,,,0.0617,0.5665,0.5243,0.4168,0.4356,0.5665,0.0422,,0.4571,True,0.2989,0.0,0.0,0.0,0.0,,,,
R0002,WAYPOINT0,comic,little,lying,q3,inference,Math is really hard to do.,6,0.2,0.2,0.0667,0.25,,,,,0.1608,0.9583,0.4496,0.3811,0.3489,0.9583,0.5087,WAYPOINT0,0.3521,True,0.2756,1.0,0.0,0.0,0.0,,,,
R0002,WAYPOINT0,comic,little,lying,q4,metacognitive,"I don't know, the teacher said they have 40 minutes to finish so it must be hard.",17,0.2,0.2,0.1333,0.25,,,,,0.1842,0.6021,0.4687,0.3421,0.3752,0.6021,0.1333,,0.4247,True,0.3285,1.0,0.0,0.0,0.0,,,,
R0002,WAYPOINT0,comic,little,stealing,q1,inference,I don't really know. Maybe he just wanted a wallet.,10,0.2,0.0,0.0333,0.5,,,,,0.1367,0.5898,0.5994,0.5456,0.581,0.5994,0.0095,,0.4942,True,0.3512,,,,,1.0,0.0,0.0,1.0
R0002,WAYPOINT0,comic,little,stealing,q2,metacognitive,I just guessed cause it didn't really say why.,9,0.0,0.0,0.0,0.25,,,,,0.0375,0.6374,0.3806,0.4294,0.4516,0.6374,0.1858,,0.4554,True,0.2882,,,,,1.0,0.0,0.0,0.0
